Falcipennis falcipennis
Lagopus lagopus
Lagopus mutus
Tetrao parvirostris
Tetrao urogallus
Lyrurus tetrix
Lyrurus mlokosiewiczi
Bonasa bonasia
Tetraogallus caucasicus
Tetraogallus altaicus
Alectoris chukar
Perdix perdix
Perdix dauurica
Coturnix japonica
Coturnix coturnix
Phasianus colchicus
Cygnus olor
Cygnus bewickii
Cygnus buccinator
Cygnus cygnus
Cygnus columbianus
Anser cygnoides
Anser fabalis
Anser albifrons
Anser erythropus
Anser anser
Anser indicus
Anser caerulescens
Chen caerulescens
Anser rossii
Chen rossii
Anser canagicus
Chen canagica
Branta bernicla
Branta leucopsis
Branta hutchinsii
Branta canadensis
Branta ruficollis
Tadorna ferruginea
Tadorna tadorna
Tadorna cristata
Aix galericulata
Anas penelope
Anas americana
Anas falcata
Anas strepera
Anas formosa
Anas crecca
Anas carolinensis
Anas platyrhynchos
Anas poecilorhyncha
Anas acuta
Anas querquedula
Anas clypeata
Marmaronetta angustirostris
Netta rufina
Aythya ferina
Aythya valisineria
Aythya americana
Aythya nyroca
Aythya baeri
Aythya fuligula
Aythya marila
Aythya affinis
Somateria mollissima
Somateria spectabilis
Somateria fischeri
Polysticta stelleri
Histrionicus histrionicus
Clangula hyemalis
Melanitta americana
Melanitta nigra
Melanitta perspicillata
Melanitta fusca
Melanitta deglandi
Bucephala clangula
Bucephala islandica
Bucephala albeola
Mergus albellus
Mergellus albellus
Mergus serrator
Mergus merganser
Mergus squamatus
Oxyura leucocephala
Gavia stellata
Gavia arctica
Gavia pacifica
Gavia immer
Gavia adamsii
Phoebastria albatrus
Phoebastria immutabilis
Phoebastria nigripes
Fulmarus glacialis
Pterodroma hypoleuca
Pterodroma inexpectata
Pterodroma solandri
Calonectris leucomelas
Puffinus yelkouan
Puffinus carneipes
Puffinus griseus
Puffinus tenuirostris
Puffinus bulleri
Puffinus gravis
Oceanodroma monorhis
Oceanodroma castro
Hydrobates pelagicus
Oceanodroma leucorhoa
Oceanodroma furcata
Fregata ariel
Pelecanus onocrotalus
Pelecanus crispus
Morus bassana
